SYNOPCode,TemperatureMin,Particulate,AbsoluteHumidity,VisibilityMin,ParticulateMin,Temperature,FSO_Att
4,24.1061892244498,15.17970167,17.68692454,8559.07244512982,13.7426943608701,24.44352816,7.516704016
4,23.5253956167097,13.90070285,17.67365846,251.982969756703,13.2306161311019,23.83851626,7.274076437
4,22.5813630481729,30.44387696,17.70334105,34.6156412731975,28.7985660606716,23.80990774,6.982446241
4,23.502470561719,0.0,17.58157013,29.5295823015037,0.0,24.41029822,6.988898432
4,21.671987492591,10.02156411,17.09904185,3795.40327754811,9.1788987480597,23.89725759,7.345590881
4,22.8001284299668,9.877506056,17.44366459,5600.78107421437,9.44413168340763,24.12019417,7.208729065
4,23.6397231653386,0.0,17.64551551,5770.11126708739,0.0,24.79729175,8.150461061
4,23.4621013365573,28.65801978,16.47463906,29.3844337722941,28.4481067059114,25.49626752,7.113255357
4,24.6712206033586,29.32094668,16.398738,4088.07975712898,29.0811377893565,25.56422587,7.823663145
4,24.5391656698444,0.0,16.81579219,22462.5403637821,0.0,25.58271539,6.925349634
4,24.3220835388986,29.58902623,16.03325727,92.3026651082636,26.6696366452052,25.53058129,7.207336791
4,23.7658465989953,29.63825828,16.24561441,19.929272417896,27.7990233750744,25.57424363,7.211124272
4,23.5258477635456,14.23090121,17.11149532,18.9007951865724,13.057579462915,24.31215927,7.208297611
4,23.5752849346558,11.21650612,17.05535327,42.4889705503558,10.9481638067986,24.42939005,6.980252758
4,22.9892617902537,0.0,17.16657503,491.74464550016,0.0,24.55526671,7.318331362
4,22.5608694318458,15.21372875,17.66197491,8692.79756063532,14.7337410093586,24.49812566,7.556926668
4,24.0994392810959,15.06480946,17.87154054,34644.643659682,14.1534502288345,24.40715538,6.416956609
4,23.0752855145277,0.0,17.78550054,24299.5136880219,0.0,24.41344712,6.661109729
4,21.6090019870809,13.95216338,17.49643166,239.194207267249,12.850292262095,23.87814624,7.113306549
4,22.3223980630209,29.74456656,17.69716214,27.9239828082129,28.6136998438222,23.78152594,6.804051454
4,22.3670527175726,0.0,18.02302471,22.4769131696375,0.0,23.99078703,6.888846951
4,23.3226033663205,0.0,17.65613919,21.0464635851217,0.0,24.22025549,6.808850484
4,21.954931472368,9.8063891,17.22237547,3655.58741079549,9.10111181947135,23.92412341,7.548139341
4,22.1256758597231,10.11772766,17.48197195,5744.0117590725,9.73897282542474,24.1415701,7.229186732
4,23.2679861778449,0.0,17.6225182,5496.7262621738,0.0,24.77813777,8.118220712
4,25.0152238115034,28.95362641,16.6087114,30.2381931703449,26.8747008343609,25.47523066,7.162501769
4,24.696137393747,0.0,16.73853836,22150.1937018749,0.0,25.54488816,7.046455467
4,21.6972381403545,21.05495477,16.67461607,4661.41470447149,20.3260706145124,24.09651091,7.770818255
4,24.4470377229795,30.22838004,16.1850107,85.9220368007273,27.3022074923526,25.5296087,7.109379614
4,24.7912358714449,29.43082734,16.21450975,19.2278157414828,27.5201381180864,25.61326985,7.41279123
4,23.9837045411414,14.00372289,17.01544629,30.6707528129163,12.7786300073749,24.41166605,7.04517659
4,22.8959123029616,13.91617964,16.98764421,18.2126497552013,12.9601276229025,24.28758031,6.996242217
4,23.4383245607067,10.78481397,17.13510904,43.058446863194,9.99003620124011,24.46769325,6.968223516
4,24.0123001578629,11.07262192,17.17170638,1650.58479750841,10.5038062427315,24.39294849,7.318177991
4,23.8419786206058,0.0,17.03053775,484.657143097826,0.0,24.41591832,7.207906707
4,3.6249255467775,6.861951394,3.862889676,58820.9756453817,6.78902739488784,3.978347618,3.373935924
4,3.73550459109662,36.71826042,4.030442244,21643.095567186,34.9152784360944,4.017038143,4.376680466
4,3.66045370061554,27.20584103,4.091409596,28366.8333850748,25.0858003871638,4.020669372,3.374662244
4,3.55661611660149,0.0,4.100435915,72930.9588367856,0.0,3.795641533,3.59168915
4,3.74601318089871,5.063888178,4.162862726,69405.7797806269,4.94923449679155,3.840072935,3.552257508
4,3.78797162916007,4.987900897,4.100653442,69477.4350249069,4.87886317665661,3.871095978,3.514661957
4,3.85580455070231,0.0,4.02752751,71387.3203332077,0.0,4.046221526,3.371890063
4,1.71653007342445,10.02124791,5.198985093,7271.82767840584,9.23593074905818,1.884716665,4.631516194
4,1.61242912525252,5.96371703,5.18681511,7168.44874322346,5.67602336512237,1.745850765,4.455416294
4,1.81349798507894,10.09190487,5.193986314,6179.72241542069,9.16242099307021,1.815069264,4.322378833
4,1.70768406284265,10.95735661,5.331299624,6281.37481204586,9.87423085777176,1.74891915,4.486436569
4,1.59769392075973,10.93074261,5.201156982,5944.12559145915,10.8099299149876,1.714370118,4.350878775
4,1.70998420761682,8.03559441,5.286209881,5985.16220856938,7.4298146270737,1.772259938,4.414465481
4,1.7770116892943,6.048088307,5.308426441,5254.33325623623,5.87887591352956,1.837160441,4.445739721
4,1.71657562468808,5.922793887,5.187340903,5521.47321016472,5.87545942988037,1.731751859,4.344307162
4,1.7184843735325,5.98602125,5.238595925,6147.03130111437,5.74508418865089,1.81370754,4.481930316
4,1.71471146227346,5.043224486,5.289597371,5754.26950142283,4.88886940406777,1.75717638,4.826310661
4,3.38105002967392,6.954816037,3.287076222,44632.1737996891,6.56709426949929,3.584816782,3.196135931
4,3.26602058950761,0.0,3.267990369,46027.3635778783,0.0,3.512306209,3.18685111
4,5.18042887201387,7.894536304,2.920912282,59958.5659488403,7.42897809413216,5.711768452,2.884669908
4,5.16037988544034,0.0,2.981980938,61820.0096528791,0.0,5.716303629,2.765170697
